                                                       |             |              |           Play           |        Declaring         |                Defending              |
BRUM Paulo Roberto - SALOMAO Jeovani                   |  160  -0.61 | -0.67   0.06 | -0.12 ( 82)   0.25 ( 77) | -0.15 ( 49)  -0.09 ( 33) | -0.03 ( 47)   0.06 ( 30)   0.25 ( 77) |
ELSHORBAGY Emad - MONIR Ahmed                          |  208  -0.73 | -0.29  -0.44 | -0.12 (114)  -0.84 ( 94) |  0.43 ( 52)  -0.57 ( 62) | -0.71 ( 38)   0.12 ( 56)  -0.62 ( 94) |
SOUDAN Luc - GARNIER Charles                           |  224  -0.89 | -0.79  -0.10 | -0.29 (113)   0.10 (111) | -0.22 ( 55)  -0.36 ( 58) |  0.18 ( 61)   0.02 ( 50)  -0.01 (111) |
ABDUL-HADI Rana - ABDUL-JALIL Jamal                    |  224  -0.93 | -0.53  -0.40 | -0.64 (108)  -0.18 (116) | -0.85 ( 57)  -0.41 ( 51) |  0.35 ( 58)   0.11 ( 58)  -0.41 (116) |
SUMAR Humayun - SADASHIV Ravishankar                   |  240  -1.23 | -0.72  -0.51 | -0.08 (105)  -0.84 (135) |  0.91 ( 42)  -0.74 ( 63) | -0.36 ( 73)  -0.16 ( 62)  -0.58 (135) |
SWEIDAN Fadi - HALLASA Jawan                           |  208  -1.77 | -1.15  -0.62 | -1.28 ( 96)  -0.05 (112) | -1.71 ( 47)  -0.87 ( 49) | -0.55 ( 54)   0.16 ( 58)   0.13 (112) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
BANERJEE Amar Nath - MAJUMDER Subir                    |   31   1.65 |  1.21   0.44 |  0.45 ( 18)   0.42 ( 13) | -0.26 ( 10)   1.33 (  8) | -0.98 (  7)  -1.08 (  6)   1.45 ( 13) |
MAJUMDER Subir - ROY Rana                              |   32   0.38 |  0.37   0.01 |  0.23 ( 16)  -0.22 ( 16) |  0.76 (  8)  -0.29 (  8) |  0.16 (  6)  -0.22 ( 10)  -0.14 ( 16) |
MAJUMDER Subir - MUKHERJEE Sumit                       |   16   0.19 | -0.39   0.57 |  0.94 ( 11)  -0.23 (  5) |  1.23 (  5)   0.70 (  6) |  0.13 (  2)  -0.34 (  3)  -0.08 (  5) |
CAMBEROS Hector - PELLEGRINI Carlos                    |   16   0.06 |  0.01   0.06 |  0.37 ( 11)  -0.63 (  5) | -0.79 (  5)   1.33 (  6) | -1.08 (  2)   0.00 (  3)  -0.20 (  5) |
ABD ELLATEIF Khaled Hassan - ELSHORBAGY Emad           |   16  -1.75 | -1.29  -0.46 | -1.94 (  7)   0.68 (  9) | -3.77 (  4)   0.51 (  3) |  2.00 (  4)   0.23 (  5)  -0.33 (  9) |
ABD ELLATEIF Khaled Hassan - MONIR Ahmed               |   16  -2.19 | -1.36  -0.83 | -0.63 ( 10)  -1.15 (  6) | -0.19 (  5)  -1.08 (  5) | -1.79 (  4)  -0.05 (  2)   0.07 (  6) |

