Players,Count,IMPs,Bid,Play,Decl,#,Def,#,Decl1,#,Decl2,#,
Göran Mattsson - Albrecht Holstein,64,-0.03,-0.03,-0.01,-0.14,38,  0.20,26,0.55,16,-0.65,22,
Ralph Vitters - Cumhur Kirdemir,16,-0.05,0.08,-0.13,0.35,7,  -0.51,9,0.47,6,-0.32,1,
Janko Katerbau - Dirk Sanne,64,-0.15,-0.03,-0.12,-0.09,34,  -0.15,30,-0.19,19,0.04,15,
Eckhard Renken - Omid Karimi,64,-0.17,-0.20,0.04,-0.12,35,  0.22,29,-0.11,20,-0.13,15,
Holger Hoffmann - Christian Dörmer,80,-0.26,-0.25,-0.01,0.13,38,  -0.14,40,0.17,18,0.09,20,
Dimitrios Markaris - Dr. Marcus Joest,48,-0.33,-0.45,0.12,0.15,25,  0.08,23,-0.29,11,0.49,14,
Michael Gromöller - Dr. Andreas Kirmse,48,-0.36,-0.25,-0.12,-0.29,22,  0.03,26,-0.37,13,-0.18,9,
Miklos Dumbovich - Moritz Steindl,80,-0.36,-0.16,-0.21,-0.43,40,  0.02,39,-0.35,18,-0.50,22,
Elke Weber - Fried Weber,63,-0.44,-0.19,-0.25,0.12,37,  -0.77,26,0.41,19,-0.18,18,
Stephan Magnusson - Dima Nikolenkov,80,-0.45,-0.32,-0.12,-0.17,37,  -0.08,43,0.27,19,-0.64,18,
Ingo Schmid - Martin Müller,80,-0.47,0.17,-0.63,-0.98,37,  -0.33,43,-1.81,13,-0.53,24,
Lutz Narajek - Antje Berghaus,32,-0.47,-0.79,0.32,0.52,18,  0.05,14,0.91,10,0.05,8,
Ulrich Bongartz - Vera Waaga,80,-0.53,-0.29,-0.24,-0.46,35,  -0.07,45,-1.11,19,0.32,16,
Uwe Breusch - Alexander Studt,64,-0.54,-0.13,-0.41,-0.30,33,  -0.53,30,0.35,19,-1.19,14,
Helga Stoermer - Lutz Narajek,48,-0.64,-0.09,-0.55,-0.29,24,  -0.81,24,-0.64,12,0.06,12,
Lutz Narajek - Petra Eleftherakis,16,-0.67,0.26,-0.94,-1.16,11,  -0.44,5,-0.55,6,-1.89,5,
Regine Bartels - Thomas Schmitt,32,-0.71,0.36,-1.07,-1.55,15,  -0.69,16,-0.75,7,-2.25,8,
Martin Müller - Petra Eleftherakis,32,-0.75,-0.77,0.02,-0.15,14,  0.16,18,1.25,7,-1.55,7,
Dr. Regine Neuhauser-Riess - Andreas Böhmer,64,-0.81,-0.33,-0.48,-0.67,26,  -0.37,37,-0.71,13,-0.63,13,
Andreas Babsch - Wolf Stahl,16,-0.85,-0.78,-0.07,0.14,8,  -0.29,8,-0.78,4,1.07,4,
Jan Chodorowski - Dr. Helmut Horacek,64,-1.03,-0.77,-0.26,-0.05,26,  -0.40,38,0.19,13,-0.30,13,
Frederik Hahn - Josias Prinz zu Waldeck,32,-1.03,-1.18,0.15,0.00,18,  0.34,14,-0.01,8,0.01,10,
Arne Siegel - Detlef Karcher,48,-1.06,-1.10,0.04,-0.38,27,  0.60,20,-0.20,14,-0.58,13,
Thomas Martin - Dr. Gerben Dirksen,16,-1.10,-1.12,0.02,0.94,7,  -0.69,9,1.83,6,-4.45,1,
Lutz Narajek - Martin Müller,64,-1.12,-1.02,-0.10,-0.15,36,  -0.03,28,1.01,17,-1.19,19,
Beatrix Wodniansky - Alexander Wodniansky,16,-1.19,-0.57,-0.63,-1.60,9,  0.62,7,-3.25,6,1.70,3,
Antje Berghaus - Petra Eleftherakis,80,-1.31,-0.53,-0.78,-0.87,36,  -0.71,44,-0.86,17,-0.88,19,
Jacek Lesniczak - Cezary Krzeminski,64,-1.45,-1.15,-0.31,-0.08,33,  -0.55,31,0.47,15,-0.54,18,
Peter Kazub - Stefan Behn,64,-1.50,-1.49,-0.01,0.15,34,  -0.19,29,-0.13,13,0.32,21,
Stefan Back - Andrea Reim,48,-1.85,-0.55,-1.30,-1.06,22,  -1.56,25,-1.71,13,-0.13,9,

