2|25|85|122|106|81|2D|N|7|C4
2|25|86|29|53|32|2C|W|11|D2
2|25|88|28|126|30|1N|N|4|D2
2|26|103|66|135|72|2N|S|9|D7
2|26|104|91|40|76|2N|S|8|DT
2|26|108|123|83|55|3N|S|8|DT
2|26|111|78|80|52|3N|S|7|DT
2|26|113|114|27|64|2N|S|8|D9
2|26|118|2|79|18|2N|S|8|D9
2|26|125|8|33|7|3C|S|9|D6
2|26|127|132|21|1|3D|W|10|ST
2|26|14|90|136|119|3N|S|9|D9
2|26|17|117|26|93|3S|W|11|ST
2|26|22|9|99|73|3D|W|8|ST
2|26|36|41|130|3|3S|W|10|ST
2|26|39|61|98|96|2S|W|6|HJ
2|26|45|51|37|19|3D|W|10|ST
2|26|54|67|87|107|2N|S|8|DT
2|26|56|43|121|58|2D|W|10|ST
2|26|57|48|112|133|2N|S|6|DT
2|26|71|70|50|120|4C|S|7|DT
2|26|74|77|75|38|2N|S|8|D9
2|26|85|122|106|81|3C|N|7|DQ
2|26|86|29|53|32|2N|S|9|DT
2|26|88|28|126|30|3N|N|8|H3
2|27|103|66|135|72|4H|W|10|D9
2|27|104|91|40|76|4H|W|11|D9
2|27|108|123|83|55|5H|W|11|D9
2|27|111|78|80|52|6HX|E|10|D9
2|27|113|114|27|64|4H|W|10|D9
2|27|118|2|79|18|5SX|N|5|DK
2|27|125|8|33|7|4H|W|11|D9
2|27|127|132|21|1|5H|W|9|D9
2|27|14|90|136|119|6H|W|9|S2
2|27|17|117|26|93|4H|W|10|D2
2|27|22|9|99|73|4H|W|10|D9
2|27|36|41|130|3|4H|W|10|D9
2|27|39|61|98|96|4H|W|10|D9
2|27|45|51|37|19|6H|W|10|D9
2|27|54|67|87|107|4H|W|10|D9
2|27|56|43|121|58|5H|W|11|D9
2|27|57|48|112|133|4H|W|10|D9
2|27|71|70|50|120|5HX|W|11|D9
2|27|74|77|75|38|4H|W|10|D9
2|27|85|122|106|81|6H|W|9|D9
2|27|86|29|53|32|5H|W|10|D9
2|27|88|28|126|30|5HX|E|11|H3
2|28|103|66|135|72|5DX|E|10|S8
2|28|104|91|40|76|5S|N|11|DK
2|28|108|123|83|55|5DX|E|10|S3
2|28|111|78|80|52|4S|N|10|DK
2|28|113|114|27|64|5S|N|11|DK
2|28|118|2|79|18|6S|N|10|DK
2|28|125|8|33|7|5S|N|10|DK
2|28|127|132|21|1|5S|N|10|DK
2|28|14|90|136|119|4S|N|10|DK
2|28|17|117|26|93|5S|N|11|DK
2|28|22|9|99|73|5SX|N|11|DK
2|28|36|41|130|3|5D|E|9|S4
2|28|39|61|98|96|5S|N|11|DK
2|28|45|51|37|19|5DX|E|10|S6
2|28|54|67|87|107|4S|N|10|D3
2|28|56|43|121|58|1S|N|10|DK
2|28|57|48|112|133|4S|N|10|DK
2|28|71|70|50|120|6S|N|11|DK
2|28|74|77|75|38|5S|N|11|DK
2|28|85|122|106|81|4S|N|10|S5
2|28|86|29|53|32|4S|N|10|DK
2|28|88|28|126|30|5S|N|11|H3
2|29|103|66|135|72|4H|N|10|C5
2|29|104|91|40|76|4H|N|11|DJ
2|29|108|123|83|55|4H|N|9|C3
2|29|111|78|80|52|4H|N|11|C5
2|29|113|114|27|64|3N|N|11|DJ
2|29|118|2|79|18|4H|N|11|DJ
2|29|125|8|33|7|3N|N|11|S7
2|29|127|132|21|1|4H|N|10|C5
2|29|14|90|136|119|3N|N|11|DJ
2|29|17|117|26|93|4H|N|11|DJ
2|29|22|9|99|73|4H|N|11|DJ
2|29|36|41|130|3|4H|S|10|SA
2|29|39|61|98|96|4H|N|11|C5
2|29|45|51|37|19|4H|N|11|C5
2|29|54|67|87|107|4H|N|11|C6
