Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
José Maria Valdes - Paolo Pasquini;260;-0,19;-0,34;0,15;0,65;127;  -0,33;133;0,65;52;0,64;75;0,00;68;0,00;65;-0,33;133;
Andris Smilgajs - Bruno Rubenis;220;-0,20;0,14;-0,34;-0,38;119;  -0,29;100;-0,43;58;-0,34;61;0,00;55;0,00;45;-0,29;100;
Dwayne Crombie - Michael Cornell;200;-0,20;-0,00;-0,20;0,05;92;  -0,41;108;-0,07;43;0,15;49;0,00;58;0,00;50;-0,41;108;
Roy Welland - Björn Fallenius;200;-0,22;0,12;-0,34;-0,64;96;  -0,06;104;-0,87;51;-0,37;45;0,00;58;0,00;46;-0,06;104;
Fernando Piedra - Dmitrij Nikolenkov;240;-0,22;-0,21;-0,01;-0,28;114;  0,24;125;-0,03;58;-0,53;56;0,00;63;0,00;62;0,24;125;
Guilherme Junqueira - Alcio Maia;160;-0,23;0,06;-0,29;-0,41;71;  -0,19;88;-1,46;33;0,50;38;0,00;52;0,00;36;-0,19;88;
Peter Goodman - Adam Dunn;340;-0,23;-0,21;-0,02;0,06;178;  -0,11;162;0,21;88;-0,09;90;0,00;79;0,00;83;-0,11;162;
Vasili Batov - Veselin Dyakov;220;-0,24;0,05;-0,28;-0,37;106;  -0,21;113;0,04;43;-0,65;63;0,00;54;0,00;59;-0,21;113;
Leonid Podgur - Avi Kalish;200;-0,24;-0,05;-0,19;-0,31;115;  -0,03;84;-0,67;51;-0,02;64;0,00;37;0,00;47;-0,03;84;
Sören Hein - Stefan Helling;260;-0,24;0,13;-0,37;-0,32;122;  -0,41;138;-0,45;63;-0,19;59;0,00;71;0,00;67;-0,41;138;
Douglas Piper - John Murdoch;240;-0,25;-0,19;-0,06;0,30;122;  -0,43;118;0,28;70;0,32;52;0,00;67;0,00;51;-0,43;118;
Jakub Slemr - Petr Pulkrab;220;-0,26;-0,28;0,02;-0,23;110;  0,26;110;-0,45;48;-0,06;62;0,00;52;0,00;58;0,26;110;
Teong-Wah Lim - David Law;340;-0,27;0,09;-0,37;-0,22;164;  -0,51;175;-0,49;85;0,06;79;0,00;90;0,00;85;-0,51;175;
Karlo Brguljan - Davor Rase;220;-0,28;0,01;-0,29;-0,18;121;  -0,42;99;-0,14;60;-0,21;61;0,00;42;0,00;57;-0,42;99;
Jorge Castanheira - Nuno Mascarenhas;240;-0,29;-0,52;0,23;0,50;124;  -0,05;116;0,67;70;0,27;54;0,00;60;0,00;56;-0,05;116;
Hayet Hachimi - Abdellatif Belkouch;120;-0,30;0,00;-0,30;-0,84;60;  0,23;60;-1,01;31;-0,65;29;0,00;24;0,00;36;0,23;60;
Ghassan Ghanem - Nuha Hattar Ghaned;220;-0,34;-0,22;-0,12;0,09;104;  -0,32;116;-0,06;48;0,22;56;0,00;52;0,00;64;-0,32;116;
Faruk Masic - Miklós Dumbovich;276;-0,35;-0,30;-0,05;-0,26;132;  0,14;142;-0,33;70;-0,17;62;0,00;67;0,00;75;0,14;142;
Stevica Kikic - Vladimir Kalcic;220;-0,35;0,06;-0,41;-0,51;112;  -0,30;108;-0,13;61;-0,97;51;0,00;61;0,00;47;-0,30;108;
Alon Apteker - Bernard Donde;220;-0,35;-0,28;-0,07;-0,13;124;  -0,00;96;-0,15;61;-0,11;63;0,00;49;0,00;47;-0,00;96;
Bernd Saurer - Doris Fischer;200;-0,35;-0,30;-0,05;0,14;102;  -0,25;98;0,38;49;-0,08;53;0,00;48;0,00;50;-0,25;98;
Young-Hong Cheng - Chuan-Cheng Chen;280;-0,36;-0,25;-0,11;0,10;136;  -0,31;144;0,15;68;0,06;68;0,00;66;0,00;78;-0,31;144;
Alain Cotti - Marcel Guevel;240;-0,36;-0,21;-0,15;0,06;118;  -0,35;122;0,57;52;-0,35;66;0,00;69;0,00;53;-0,35;122;
Abdelkamel Rerhaye - Abdellah Laghrari;200;-0,36;-0,28;-0,08;0,02;106;  -0,19;93;0,26;51;-0,20;55;0,00;42;0,00;51;-0,19;93;
Giorgi Abzianidze - Revaz Beriashvili;280;-0,36;-0,25;-0,11;-0,13;154;  -0,08;126;-0,60;74;0,30;80;0,00;64;0,00;62;-0,08;126;
Monya Jellouli - Tahar Touil;100;-0,39;0,02;-0,41;-0,68;51;  -0,12;49;-0,17;27;-1,26;24;0,00;19;0,00;30;-0,12;49;
Gheorghe Serpoi - Calin Stirbu;220;-0,40;-0,37;-0,02;-0,18;99;  0,11;120;0,36;45;-0,63;54;0,00;61;0,00;59;0,11;120;
Jacques Stas - David Johnson;260;-0,40;-0,12;-0,28;-0,34;117;  -0,23;143;-0,35;56;-0,34;61;0,00;80;0,00;63;-0,23;143;
