Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Siegfried Reck - Willi Neidow;208;-0,59;-0,17;-0,42;-0,71;84;  -0,22;123;-0,44;42;-0,99;42;;3b
Josias Prinz zu Waldeck - Berthold Engel;224;-0,62;-0,32;-0,30;-0,14;108;  -0,45;116;-0,52;41;0,10;67;;1
Gisela Smykalla - Dr. Michael Schneider;192;-0,66;-0,39;-0,27;-0,50;85;  -0,09;106;-0,78;43;-0,21;42;;1
Dr. Wolfgang Walenta - Rosemarie Balkheimer;128;-0,67;-0,60;-0,07;-0,38;61;  0,22;67;-1,37;25;0,30;36;;3b
Anke Blumenberg - Ute Struthoff;192;-0,69;-0,35;-0,35;-0,48;98;  -0,22;94;-0,67;49;-0,28;49;;3c
Ria Kürschner - Dr. Anne Gromöller;143;-0,77;-0,37;-0,40;-0,43;68;  -0,37;75;-0,53;33;-0,33;35;;3a
Udo Kreimeyer - Wolfgang Sonntag;192;-0,77;-0,51;-0,26;-0,33;76;  -0,22;116;-0,30;46;-0,36;30;;2
Horst-Dieter Uhlmann - Jerzy Kozyczkowski;96;-0,78;-0,59;-0,19;-0,29;38;  -0,12;58;-0,42;16;-0,20;22;;2
Kerstin Sosnowski - Tobias Pickhard;191;-0,83;-0,44;-0,39;-0,34;99;  -0,44;91;-0,34;44;-0,35;55;;3a
Boris Yavlinsky - Dr. Gerhard Thurn;192;-0,88;-0,28;-0,59;-0,64;98;  -0,54;94;-0,63;32;-0,65;66;;3a
Helga Stoermer - Petra Eleftherakis;96;-0,88;-0,22;-0,66;-0,53;46;  -0,79;50;-1,15;15;-0,24;31;;3c
Yevgeniya Khanukova - Yves Mucha;288;-0,89;-0,51;-0,38;-0,39;127;  -0,37;161;-0,66;63;-0,13;64;;2
Andreas Bollhorst - Sabine Melcher;192;-1,10;-0,44;-0,66;-0,94;90;  -0,42;101;-0,81;43;-1,06;47;;3a

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Thomas Neuhauser - Dr. Regine Neuhauser-Riess;16;1,98;1,17;0,81;1,18;10;  0,20;6;0,93;4;1,35;6;;3b
Hans Ott - Lothar Schmidt;32;1,12;0,85;0,28;0,76;19;  -0,44;13;0,59;9;0,92;10;;3b
Jazek Grzelczak - Jerzy Kozyczkowski;80;0,97;0,52;0,44;0,36;45;  0,55;35;-0,19;22;0,88;23;;2
Gerhard Schiesser - Otto Ruthenberg;64;0,83;0,28;0,54;0,36;38;  0,82;26;0,35;24;0,36;14;;2
Marie Eggeling - Pony Nehmert;32;0,82;0,49;0,33;1,38;12;  -0,32;19;3,92;4;0,12;8;;2
Mieke Plath - Cumhur Kirdemir;16;0,78;0,49;0,29;-0,80;9;  1,70;7;-1,57;4;-0,18;5;;3a
Andrea Reim - Marie Eggeling;48;0,60;1,19;-0,58;-0,45;21;  -0,69;27;-1,13;11;0,31;10;;2
Thomas Neuhauser - Christoph Hauschild;16;0,55;-0,33;0,88;1,83;8;  -0,07;8;-0,16;6;7,78;2;;3b
Roy Welland - Sabine Auken;64;0,55;0,84;-0,29;0,10;34;  -0,73;30;-0,47;17;0,66;17;;1
Hartmut Kondoch - Josias Prinz zu Waldeck;32;0,48;0,76;-0,28;-0,48;17;  -0,06;15;-1,01;12;0,80;5;;1
Ullrich Jahr - Yordan Boychev;80;0,36;0,27;0,09;0,01;36;  0,16;43;-0,74;18;0,76;18;;3a
Dimitrij Nikolenkov - Andrea Haidorfer-Nikolenkov;64;0,35;0,47;-0,13;-0,38;31;  0,10;33;-0,83;13;-0,05;18;;2
Tobias Förster - Dr. Klaus Krtschil;32;0,31;1,15;-0,84;-0,41;18;  -1,40;14;-0,32;6;-0,45;12;;3b
Merle Schneeweis - Sabine Melcher;32;0,25;-0,16;0,41;0,81;17;  -0,04;15;0,98;13;0,26;4;;3a
Martin Rehder - Michael Gromöller;47;0,22;0,03;0,19;0,19;26;  0,18;21;-0,35;13;0,73;13;;1
Jazek Grzelczak - Adam Pawlowski;80;0,18;-0,06;0,24;0,07;32;  0,37;47;0,11;16;0,03;16;;2
Pony Nehmert - Christian Fröhner;64;0,12;0,75;-0,62;-1,09;42;  0,26;22;-1,58;16;-0,79;26;;2
Ingo Schmid - Martin Müller;48;0,10;-0,09;0,19;0,06;24;  0,33;24;1,20;14;-1,55;10;;3c
Gregor Sieber - Ulrike Schreckenberger;64;-0,04;-0,09;0,05;-0,02;39;  0,17;25;-0,05;25;0,02;14;;2
Fikret Dogan - Mieke Plath;16;-0,11;-0,19;0,08;-1,33;6;  0,92;10;-0,46;3;-2,21;3;;3a
Andrea Reim - Nikolas Bausback;16;-0,15;0,14;-0,29;-0,97;9;  0,58;7;-2,02;4;-0,13;5;;2
