                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
Z Rogowski - M Cichocki                                |   24  -0.93 | -0.87  -0.06 |  0.22 (  7)  -0.17 ( 17) |  0.41 (  5)  -0.24 (  2) | -0.05 ( 12)  -0.01 (  5)  -0.13 ( 17) |
T Gotard - B Małysz                                    |   48  -0.93 | -0.38  -0.55 | -0.48 ( 25)  -0.67 ( 22) | -0.26 (  9)  -0.60 ( 16) |  0.10 ( 15)  -0.44 (  7)  -0.59 ( 22) |
E Warząchowski - K Kleinrok                            |   72  -1.06 | -0.11  -0.95 | -0.66 ( 28)  -1.14 ( 44) | -0.89 ( 16)  -0.34 ( 12) | -0.11 ( 26)  -0.26 ( 18)  -0.97 ( 44) |
T Raczkiewicz - M Atalski                              |   72  -1.08 | -0.66  -0.42 |  0.13 ( 37)  -1.00 ( 35) | -0.28 ( 14)   0.38 ( 23) | -0.07 ( 20)  -0.25 ( 15)  -0.86 ( 35) |
L Majdański - M Kupnicki                               |   84  -1.09 | -0.59  -0.50 | -0.47 ( 38)  -0.53 ( 46) | -0.33 ( 21)  -0.65 ( 17) | -0.05 ( 19)  -0.22 ( 27)  -0.39 ( 46) |
W Klapper - K Kleinrok                                 |   12  -1.11 |  0.23  -1.34 | -1.47 (  7)  -1.15 (  5) | -0.20 (  3)  -2.42 (  4) | -0.24 (  3)   0.16 (  2)  -1.07 (  5) |
S Walerowicz - J Rymwid                                |   48  -1.16 | -1.07  -0.08 | -0.77 ( 21)   0.45 ( 27) | -0.94 (  5)  -0.72 ( 16) |  0.84 (  9)  -0.42 ( 18)   0.45 ( 27) |
W Jaworski - Z Papierniak                              |   36  -1.18 | -0.58  -0.60 | -1.04 ( 18)  -0.16 ( 18) | -0.48 ( 12)  -2.15 (  6) |  0.16 (  8)  -0.02 ( 10)  -0.22 ( 18) |
S Henclik - B Małysz                                   |   12  -1.20 | -1.26   0.06 |  0.50 (  5)  -0.25 (  7) |  0.00 (  1)   0.62 (  4) |  0.00 (  2)  -0.14 (  5)  -0.14 (  7) |
W Klapper - J Posłuszny                                |   12  -1.34 | -0.76  -0.59 | -0.81 (  7)  -0.28 (  5) |  0.17 (  3)  -1.55 (  4) |  0.05 (  4)   0.18 (  1)  -0.35 (  5) |
T Jochymski - W Kaźmierczak                            |   12  -1.49 | -1.93   0.44 |  0.85 (  9)  -0.77 (  3) |  0.01 (  2)   1.09 (  7) | -0.77 (  3)      - (  0)   0.00 (  3) |
J Posłuszny - A Lubojemski                             |   47  -1.66 | -0.96  -0.70 | -0.28 ( 19)  -1.05 ( 26) |  0.32 (  9)  -0.82 ( 10) |  0.32 ( 16)  -0.01 ( 10)  -1.24 ( 26) |
J Janowski - P Wiankowski                              |   24  -1.74 | -0.97  -0.77 | -0.57 ( 12)  -1.06 ( 11) | -0.52 (  6)  -0.62 (  6) |  0.57 (  5)  -0.09 (  6)  -1.27 ( 11) |
M Pędziński - P Tuczyński                              |   12  -1.78 | -0.33  -1.46 | -0.17 (  5)  -2.37 (  7) |  0.18 (  2)  -0.41 (  3) |  0.58 (  2)  -0.71 (  5)  -2.03 (  7) |
T Włodarczak - W Janicki                               |   36  -1.93 | -0.83  -1.10 | -0.58 ( 15)  -1.47 ( 21) | -1.02 (  6)  -0.29 (  9) |  0.01 ( 12)  -1.84 (  9)  -0.68 ( 21) |
T Gotard - K Sikorski                                  |   12  -2.87 | -2.94   0.07 |  0.01 (  6)   0.13 (  6) |  0.00 (  2)   0.02 (  4) |  0.78 (  4)   0.00 (  2)  -0.39 (  6) |

