Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SERPOI Gheorghe - STIRBU Calin;400;-0,40;-0,22;-0,18;0,08;208;  -0,45;192;0,25;93;-0,06;115;0,01;97;-0,37;95;-0,27;192;
CAPUTO Philippe - DEMARCIN Eric;440;-0,42;-0,22;-0,20;-0,08;225;  -0,33;212;-0,04;153;-0,17;72;0,07;85;-0,12;127;-0,29;212;
MICHAILOVAS Andrius - LUKINSKAS Povilas;480;-0,43;-0,19;-0,23;-0,31;227;  -0,17;250;-0,63;117;0,03;110;-0,16;141;0,09;109;-0,12;250;
PAZ Nuno - SANTOS Rui Silva;420;-0,43;-0,40;-0,02;0,18;221;  -0,25;198;0,45;109;-0,08;112;0,06;101;-0,09;97;-0,24;198;
PABLOS Pablo Gomez de - BASABE Enrique;420;-0,43;-0,20;-0,23;-0,49;205;  0,02;212;-0,46;109;-0,52;96;0,05;101;0,19;111;-0,10;212;
OLANSKI Wojtek - VAINIKONIS Vytautas;460;-0,43;-0,04;-0,39;-0,09;251;  -0,76;206;0,10;132;-0,29;119;-0,03;82;-0,55;124;-0,41;206;
RUBENIS Bruno - HAYES Ben;440;-0,44;-0,18;-0,25;-0,15;205;  -0,35;228;0,20;64;-0,31;141;0,04;134;-0,49;94;-0,17;228;
MUNTEANU Eduard - ROTARU Iulian;460;-0,45;-0,42;-0,02;0,36;240;  -0,44;220;0,57;126;0,13;114;-0,16;119;-0,21;101;-0,27;220;
GESTE Andis - KHAZANOV Igor;400;-0,49;-0,21;-0,28;-0,27;211;  -0,29;185;-0,26;116;-0,29;95;0,01;99;-0,04;86;-0,28;185;
MOSSOP David - ZIVKOVIC Gojko;420;-0,51;-0,32;-0,19;0,19;203;  -0,55;216;0,01;111;0,40;92;-0,05;119;0,11;97;-0,57;216;
PIZZA Ettore - GADDI Camillo;440;-0,56;-0,36;-0,20;-0,20;232;  -0,20;207;0,02;103;-0,38;129;0,10;99;-0,15;108;-0,16;207;
SOROLDONI Massimo - ZACCARIA Daniele;400;-0,58;-0,33;-0,25;-0,21;197;  -0,29;199;-0,18;83;-0,24;114;-0,03;103;-0,26;96;-0,16;199;
CASEY Jill - KURBALIJA Diane;180;-0,62;-0,54;-0,08;0,13;88;  -0,29;92;0,09;46;0,19;42;0,51;42;0,19;50;-0,63;92;
BRICIU Marius - GHIGHECI Ovidiu;420;-0,65;-0,31;-0,34;-0,44;191;  -0,26;229;-0,47;96;-0,41;95;-0,42;106;-0,15;123;0,02;229;
ZHUKOV Alexander - KARBANOVICH Alexander;400;-0,68;-0,63;-0,05;-0,12;191;  0,00;208;0,00;100;-0,25;91;0,49;102;0,14;106;-0,31;208;
MATOS Nuno - CRUZEIRO Jorge;380;-0,71;-0,37;-0,34;-0,27;168;  -0,40;210;-0,23;65;-0,29;103;0,07;95;-0,14;115;-0,35;210;
BRIOLINI Giancarlo - FIORINI Fiorenzo;440;-0,72;-0,29;-0,43;0,10;205;  -0,90;232;0,15;115;0,04;90;-0,26;132;-0,42;100;-0,57;232;
TIHANE Aivar - DALBERG Lembit;340;-0,79;-0,33;-0,45;-0,31;163;  -0,59;176;0,29;84;-0,94;79;0,07;82;-0,17;94;-0,54;176;
TYLA Albertas - BABICKAS Rolandas;340;-0,81;-0,38;-0,42;-0,12;172;  -0,76;164;0,12;92;-0,39;80;-0,53;94;-0,16;70;-0,38;164;
HEIN Soren - HELLING Stefan;400;-0,92;-0,60;-0,32;-0,09;178;  -0,51;219;-0,34;93;0,18;85;-0,15;103;-0,23;116;-0,32;219;
PRAVDIC Milko - CEKOL Goran;200;-1,02;-0,50;-0,52;-0,43;96;  -0,61;104;-0,51;40;-0,37;56;0,14;52;-0,45;52;-0,46;104;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
WASIK Arturo - BASABE Enrique;20;1,20;1,70;-0,50;-1,02;10;  0,03;10;-0,49;7;-2,26;3;0,05;4;-0,26;6;0,16;10;
MATUSHKO Georgi - KRASNOSSELSKI Mikhail;20;1,00;0,67;0,33;0,38;6;  0,31;14;0,00;3;0,77;3;0,05;7;-0,11;7;0,34;14;
NYSTROM Fredrik - BJORNLUND Fredrik;60;0,65;0,64;0,01;0,64;26;  -0,47;34;0,08;9;0,93;17;-0,49;20;-0,68;14;0,10;34;
RADISIC Goran - VLAJNIC Branko;20;0,30;0,25;0,05;0,87;6;  -0,31;14;0,20;1;1,01;5;-0,20;14;-;0;-0,11;14;
KURBALIJA Diane - KURBALIJA Filip;100;-0,03;0,26;-0,29;-0,24;51;  -0,34;49;0,01;34;-0,72;17;-0,26;23;0,15;26;-0,30;49;
REES Tim - SALISBURY John;60;-0,47;-0,02;-0,45;-0,11;27;  -0,72;33;-0,32;11;0,04;16;-0,64;18;-0,26;15;-0,26;33;
PAREZANIN Darko - SIBINOVIC Zoran;60;-0,87;-0,72;-0,15;-0,06;36;  -0,28;24;0,22;19;-0,37;17;0,39;12;-0,69;12;-0,13;24;
REES Tim - TEDD Mike;40;-0,98;-0,54;-0,43;-0,37;16;  -0,47;24;-0,63;9;-0,03;7;-0,45;12;0,05;12;-0,27;24;
PAZ Nuno - CASTANHEIRA Jorge Carlos;20;-1,60;0,08;-1,68;-1,72;10;  -1,64;10;-1,42;5;-2,02;5;0,00;5;0,00;5;-1,64;10;
PROROK Kalle - LOEFGREN Martin;20;-1,70;-0,25;-1,45;-0,08;11;  -3,13;9;-0,50;2;0,01;9;0,31;6;-4,59;3;-1,80;9;
PESSOA Sofia - SANTOS Rui Silva;20;-4,00;-1,43;-2,57;-1,80;12;  -3,74;8;-4,15;4;-0,62;8;0,00;4;0,00;4;-3,74;8;

