                                                       |             |              |           Play           |        Declaring         |                Defending              |
CHUMAK Yuliy - ROVYSHYN Oleg                           |  239  -0.65 | -0.47  -0.18 |  0.07 (111)  -0.39 (127) |  0.57 ( 52)  -0.37 ( 59) |  0.03 ( 70)  -0.15 ( 57)  -0.34 (127) |
CARRASCO Gabriel - FRACTMAN Gabriel                    |  100  -0.72 | -0.21  -0.51 | -0.95 ( 49)  -0.09 ( 51) | -1.64 ( 23)  -0.33 ( 26) |  0.17 ( 18)   0.22 ( 33)  -0.29 ( 51) |
RYBNIKOV Gennadii - KYCHANOV Valentin                  |  220  -0.82 | -0.29  -0.54 | -0.52 (116)  -0.55 (104) | -0.63 ( 58)  -0.41 ( 58) | -0.10 ( 45)  -0.12 ( 59)  -0.44 (104) |
BANCHEREAU Philippe - PALAZO Denis                     |  260  -0.87 | -0.43  -0.44 | -0.33 (114)  -0.54 (144) | -0.23 ( 54)  -0.42 ( 60) | -0.21 ( 72)   0.07 ( 72)  -0.46 (144) |
FAZZARDI Gianfranco - PERLINI Maria Cristina           |  220  -0.90 | -0.22  -0.69 | -0.63 ( 81)  -0.73 (137) | -1.01 ( 38)  -0.30 ( 43) | -0.34 ( 72)   0.04 ( 65)  -0.58 (137) |
MIETI Renzo - PAOLUCCI Mauro                           |  240  -1.29 | -0.73  -0.56 | -0.62 (106)  -0.52 (133) | -0.67 ( 64)  -0.55 ( 42) |  0.05 ( 73)  -0.24 ( 60)  -0.44 (133) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
FRACTMAN Gabriel - KNAP Andres                         |   20   2.75 |  2.41   0.34 |  0.41 ( 16)   0.04 (  4) | -0.60 (  5)   0.87 ( 11) |  0.01 (  3)  -0.14 (  1)   0.07 (  4) |
BERTHEAU Peter - CULLIN Per-Ola                        |   19   0.58 |  0.39   0.19 |  0.50 ( 10)  -0.15 (  9) |  0.42 (  2)   0.52 (  8) | -0.84 (  6)   0.29 (  3)   0.32 (  9) |
FRACTMAN Gabriel - GODED Federico                      |   20   0.00 |  0.54  -0.54 |  2.16 (  6)  -1.69 ( 14) |  1.52 (  3)   2.81 (  3) | -0.35 (  3)  -0.43 ( 11)  -1.28 ( 14) |
CARRASCO Gabriel - FRACTMAN Gabriel                    |  100  -0.72 | -0.21  -0.51 | -0.95 ( 49)  -0.09 ( 51) | -1.64 ( 23)  -0.33 ( 26) |  0.17 ( 18)   0.22 ( 33)  -0.29 ( 51) |

