Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Jürgen Nordmann - Anne Heim;128;-0,66;-0,16;-0,50;-0,48;53;  -0,53;74;-0,64;30;-0,26;23;;3a
Georg Szasz - Max Winter;128;-0,74;-0,18;-0,56;-1,14;63;  -0,00;63;-0,75;33;-1,57;30;;2
Angelika Röttger - Wolfram Rach;96;-0,75;-0,32;-0,44;-0,22;49;  -0,67;46;-0,36;27;-0,06;22;;3a
Dr. Frank Pioch - Dr. Rolf Kühn;224;-0,76;-0,50;-0,25;-0,36;128;  -0,11;94;0,04;61;-0,72;67;;1
Marian Mrukwa - Adam Rduch;160;-0,77;-0,51;-0,26;-0,27;76;  -0,26;80;-0,31;31;-0,24;45;;3b
Ralf Schmellekamp - Dimitri Markaris;128;-0,92;-0,59;-0,33;0,12;65;  -0,79;63;0,02;41;0,30;24;;1
Krzysztof Dec - Christian Lepa;96;-1,16;-0,85;-0,31;-0,22;46;  -0,40;49;0,73;20;-0,96;26;;2
Tobias Müller - Dr. Arno Kretschmer;96;-1,17;-0,37;-0,81;-0,60;48;  -1,02;48;-1,22;28;0,28;20;;3c
Peter Bode - Sybil Müller-Maubach;96;-1,22;-0,62;-0,60;-0,72;49;  -0,49;45;0,15;30;-2,08;19;;3a

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Mieke Plath - Cumhor Kirdemir;64;1,37;0,18;1,19;1,29;39;  1,12;23;1,23;20;1,35;19;;3b
Fikret Dogan - Andreas Schiffmann;64;1,35;0,00;1,35;2,60;27;  0,45;36;4,25;18;-0,68;9;;3b
Berthold Engel - Claudia Vechiatto;32;1,18;1,12;0,06;-0,12;16;  0,24;16;-0,37;10;0,30;6;;2
Hartmut Kondoch - Claudia Vechiatto;16;1,01;0,95;0,07;0,21;8;  -0,08;8;0,28;5;0,10;3;;2
Fred Wrobel - Christian Dörmer;64;0,98;0,21;0,77;1,30;30;  0,31;34;1,98;18;0,28;12;;2
Jochen Bitschené - Klaus Reps;48;0,91;0,47;0,44;0,70;25;  0,15;23;-0,44;12;1,76;13;;1
Henning Bohnsack - Susanne Bohnsack;47;0,83;0,51;0,32;0,33;25;  0,31;22;1,55;12;-0,79;13;;3c
Klaus-Dieter Wacker - Willi Neidow;64;0,71;0,80;-0,10;-0,03;37;  -0,19;26;-0,13;21;0,10;16;;3a
Ulrich Staber - Willi Neidow;48;0,58;0,46;0,12;0,41;28;  -0,30;20;1,09;14;-0,26;14;;3a
