                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
MARLIN Natalie - PENNEY Graham Arthur                  |  180  -0.91 | -0.63  -0.28 | -0.12 ( 91)  -0.44 ( 87) |  0.25 ( 45)  -0.49 ( 46) | -0.31 ( 43)   0.03 ( 44)  -0.30 ( 87) |
DIX Mario - PARNIS-ENGLAND Margaret                    |  280  -1.05 | -0.38  -0.67 | -0.77 (154)  -0.54 (126) | -0.44 ( 93)  -1.27 ( 61) | -0.22 ( 68)   0.25 ( 58)  -0.54 (126) |
VELLA Anna - CLARE Oliver                              |  180  -1.43 | -0.63  -0.80 | -0.67 ( 75)  -0.90 (104) | -0.84 ( 41)  -0.46 ( 34) | -0.78 ( 41)   0.19 ( 63)  -0.71 (104) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
ZHUKOV Alexander - TSIMAKHOVICH Aleh                   |  100   0.90 |  0.67   0.23 |  0.40 ( 55)   0.02 ( 45) |  0.09 ( 20)   0.58 ( 35) |  0.50 ( 25)   0.59 ( 20)  -0.52 ( 45) |
ZHUKOV Alexander - ZHURAVEL Valentin                   |   20   0.36 | -0.12   0.49 |  0.73 (  9)   0.29 ( 11) | -0.21 (  4)   1.48 (  5) |  0.31 (  5)  -0.26 (  6)   0.29 ( 11) |
VELLA Anna - PARNIS-ENGLAND Margaret                   |   20  -0.46 |  0.53  -0.99 | -0.93 ( 13)  -1.10 (  7) | -1.50 (  6)  -0.44 (  7) |  0.58 (  3)  -1.09 (  4)  -0.72 (  7) |
ZHUKOV Alexander - KORZUN Aleksandr                    |   40  -0.85 | -0.89   0.04 | -0.16 ( 20)   0.24 ( 20) | -0.29 ( 10)  -0.03 ( 10) | -0.01 ( 14)  -0.19 (  6)   0.30 ( 20) |
VELLA Anna - MARLIN Natalie                            |   20  -1.16 | -0.19  -0.98 | -1.03 ( 10)  -0.93 ( 10) | -4.33 (  3)   0.39 (  7) |  0.12 (  6)   0.60 (  4)  -1.24 ( 10) |
ZHUKOV Alexander - ARLOVICH Andrei                     |   20  -1.25 | -0.10  -1.15 | -0.98 (  9)  -1.28 ( 11) | -1.62 (  6)   0.30 (  3) | -0.07 (  8)  -5.04 (  3)   0.14 ( 11) |
VELLA Anna - PENNEY Graham Arthur                      |   40  -2.16 | -1.44  -0.72 | -0.75 ( 20)  -0.69 ( 20) | -1.81 (  6)  -0.30 ( 14) |  0.04 ( 12)   0.16 (  8)  -0.77 ( 20) |

